Linguagem_Tipo,Tamanho,Operacao,Tempo(ms),Memoria(bytes)
CPP_ArrayManual,30000,adicaoInicio,0.001073,4395008
CPP_ArrayManual,30000,adicaoFinal,1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001138,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001299,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001078,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001131,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001295,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001076,4395008
CPP_ArrayManual,30000,adicaoFinal,1.3e-05,4395008
CPP_ArrayManual,30000,busca,1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001132,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001298,4395008
CPP_ArrayManual,30000,adicaoInicio,0.00107,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.2e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001135,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001294,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001082,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001143,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001292,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001073,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001137,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001288,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001075,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001145,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001297,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001071,4395008
CPP_ArrayManual,30000,adicaoFinal,1.2e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001129,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001288,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001077,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001134,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001289,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001069,4395008
CPP_ArrayManual,30000,adicaoFinal,1.1e-05,4395008
CPP_ArrayManual,30000,busca,1.1e-05,4395008
CPP_ArrayManual,30000,remocaoValor,0.001136,4395008
CPP_ArrayManual,30000,remocaoIndice,0.001291,4395008
CPP_ArrayManual,30000,adicaoInicio,0.001077,4395008
CPP_ArrayManual,30000,adicaoFinal,1e-05,4395008
